addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x800106E0	160	BootEntry	low	0	u32	0	1	0		break|gp
0x80010780	112	func_80010780	high	0	void	1	0	0	s0|s1|ra	indirect
0x800107F0	104	func_800107F0	low	0	void	0	0	0	s0|s1|ra	orphan|indirect
0x80010858	16	func_80010858	low	0	u32	24	0	0		leaf
0x80010868	360	func_80010868	medium	2	u32	0	1	40	s0|s1|ra	orphan
0x800109D0	12	func_800109D0	medium	2	void	1	0	32		leaf|orphan
0x800109DC	140	func_800109DC	low	1	u32	0	3	0	ra	orphan
0x80010A68	48	func_80010A68	high	0	u32	6	0	0	ra	indirect
0x80010A98	48	func_80010A98	low	0	u32	4	0	0	ra	orphan|indirect
0x80010AC8	48	func_80010AC8	high	0	u32	10	0	0	ra	indirect
0x80010AF8	52	func_80010AF8	medium	1	u32	0	0	24	ra	orphan|indirect
0x80010B2C	32	func_80010B2C	low	0	u32	0	0	0	ra	orphan|indirect
0x80010B4C	16	func_80010B4C	low	0	void	0	0	0		leaf|orphan
0x80010B5C	48	func_80010B5C	high	0	u32	3	0	0	ra	indirect
0x80010B8C	48	func_80010B8C	low	0	u32	0	0	0	ra	orphan|indirect
0x80010BBC	16	func_80010BBC	high	0	u32	3	0	0		leaf
0x80010BCC	24	func_80010BCC	low	0	u32	0	0	0		leaf|orphan
0x80010BE4	24	func_80010BE4	high	1	u32	7	0	0		leaf
0x80010BFC	80	func_80010BFC	medium	0	u32	0	0	24	s0|ra	leaf|addr_taken
0x80010C4C	136	func_80010C4C	low	2	u32	0	8	0		orphan
0x80010CD4	148	func_80010CD4	medium	0	u32	1	2	40	s0|s1|s2|s3|s4|ra	orphan
0x80010D68	296	func_80010D68	low	0	u32	0	2	0		orphan|indirect
0x80010E90	20	func_80010E90	low	0	void	0	0	0		leaf|orphan
0x80010EA4	76	func_80010EA4	medium	2	u32	0	0	40	s0|s1|s2|s3|s4|ra	leaf|addr_taken
0x80010EF0	96	func_80010EF0	low	2	u32	0	0	0		leaf|orphan
0x80010F50	156	func_80010F50	low	2	u32	0	2	0		orphan
0x80010FEC	160	func_80010FEC	high	0	u32	0	2	24	s0|ra	addr_taken
0x8001108C	120	func_8001108C	medium	0	u32	0	2	24	s0|ra	orphan
0x80011104	36	func_80011104	low	2	u32	1	0	0		leaf|orphan
0x80011128	88	func_80011128	medium	0	u32	1	4	24	ra	orphan
0x80011180	88	func_80011180	medium	0	u32	1	0	0	s0|s1|ra	addr_taken|orphan|indirect
0x800111D8	20	func_800111D8	low	0	void	0	0	0		leaf|orphan
0x800111EC	44	func_800111EC	medium	2	u32	1	0	0		leaf|addr_taken|orphan
0x80011218	36	func_80011218	low	2	u32	1	0	0		leaf|orphan
0x80011248	76	func_80011248	medium	0	u32	1	4	24	ra	orphan
0x80011294	384	func_80011294	medium	0	u32	1	1	0	s0|s1|s2|s3|s4|s5|ra	addr_taken|orphan|indirect
0x80011414	172	func_80011414	medium	2	u32	1	0	0		leaf|addr_taken|orphan
0x800114C0	36	func_800114C0	low	2	u32	1	0	0		leaf|orphan
0x800114E8	372	func_800114E8	verified	1	u32	3	5	32	s0|s1|ra	indirect
0x8001165C	92	func_8001165C	verified	1	u32	1	1	24	s0|ra	
0x800116B8	164	func_800116B8	medium	1	u32	0	2	32	s0|s1|s2|ra	orphan|indirect
0x8001175C	16	func_8001175C	low	0	u32	0	0	0		leaf|orphan
0x8001176C	96	func_8001176C	medium	1	u32	0	1	32	s0|s1|ra	orphan
0x800117CC	152	func_800117CC	verified	1	u32	2	2	32	s0|s1|ra	indirect
0x80011864	104	func_80011864	high	1	u32	25	1	0	s0|ra	indirect
0x800118CC	284	func_800118CC	verified	2	u32	8	1	32	s0|ra	
0x800119E8	144	func_800119E8	verified	4	u32	2	1	40	s0|s1|s2|s3|ra	indirect
0x80011A78	152	func_80011A78	medium	4	u32	0	1	40	s0|s1|s2|s3|ra	orphan|indirect
0x80011B10	96	func_80011B10	verified	2	u32	17	1	32	s0|s1|ra	indirect
0x80011B70	96	func_80011B70	medium	2	u32	3	1	32	s0|s1|ra	orphan|indirect
0x80011BD0	88	func_80011BD0	medium	3	u32	3	1	32	s0|s1|s2|ra	
0x80011C28	96	func_80011C28	low	0	u32	0	0	0		orphan|indirect
0x80011C88	200	func_80011C88	low	2	u32	0	1	0	s0|s1|ra	orphan
0x80011D50	172	func_80011D50	low	2	u32	0	1	0	s0|s1|ra	orphan|indirect
0x80011DFC	92	func_80011DFC	medium	1	u32	4	0	32	s0|s1|ra	orphan|indirect
0x80011E58	64	func_80011E58	low	1	u32	11	1	0	s0|ra	
0x80011E98	32	func_80011E98	low	0	u32	0	0	0		orphan|indirect
0x80011EB8	16	func_80011EB8	low	0	void	0	0	0		leaf|orphan
0x80011EC8	136	func_80011EC8	medium	1	u32	2	2	32	s0|s1|s2|ra	
0x80011F50	56	func_80011F50	low	0	u32	0	1	0		orphan|indirect
0x80011F88	96	func_80011F88	medium	2	u32	0	1	40	s0|s1|s2|s3|ra	orphan
0x80011FE8	28	func_80011FE8	low	0	u32	0	1	0		orphan
0x80012004	92	func_80012004	low	1	u32	0	1	0		orphan|indirect
0x80012060	52	func_80012060	medium	1	u32	0	1	24	s0|ra	orphan
0x80012094	1272	func_80012094	verified	1	u32	3	3	32	s0|s1|s2|ra	indirect
0x8001258C	52	func_8001258C	medium	1	u32	0	1	24	s0|ra	orphan
0x800125C0	48	func_800125C0	low	0	u32	0	0	0	ra	orphan|indirect
0x800125F0	128	func_800125F0	medium	2	u32	0	2	32	s0|s1|ra	orphan
0x80012670	64	func_80012670	medium	2	u32	0	1	24	s0|ra	orphan
0x800126B0	504	func_800126B0	medium	2	u32	1	5	40	s0|s1|ra	orphan
0x800128A8	56	func_800128A8	medium	2	u32	2	1	40	s0|s1|ra	
0x800128E0	72	func_800128E0	low	2	u32	0	2	0		orphan
0x80012928	84	func_80012928	low	0	u32	0	2	0		orphan
0x8001297C	412	func_8001297C	low	1	u32	0	0	0		leaf|orphan
